EIA_STATE,EIA_NG,EIA_ELEC,EIA_GAS,EIA_GAS_PADD
AL,14.13,11.7,2.164,3
AK,9.64,19.83,2.65,5
AZ,17.04,12.13,2.65,5
AR,11.58,9.82,2.164,3
CA,11.39,16.99,2.365,5
CO,8.27,12.12,2.411,4
CT,12.5,20.94,2.411,1A
DE,12.62,13.42,2.44,1B
DC,11.98,12.99,2.44,1B
FL,19.34,11.58,2.44,1C
GA,14.62,11.54,2.29,1C
HI,40.08,29.6,2.65,5
ID,8.59,9.93,2.408,4
IL,7.97,12.5,2.339,2
IN,8.92,11.57,2.339,2
IA,8.51,11.63,2.339,2
KS,10.17,12.34,2.339,2
KY,10.87,10.24,2.339,2
LA,10.77,9.33,2.164,3
ME,16.79,15.61,2.411,1A
MD,12.03,13.82,2.44,1B
MA,13.02,19.83,2.29,1A
MI,8.81,14.42,2.339,2
MN,8.79,12.12,2.339,2
MS,9.7,11.27,2.164,3
MO,11.6,11.21,2.408,4
MT,8.21,10.88,2.339,2
NA,1,1,1,NA
NE,8.86,10.6,2.339,2
NV,11.82,12.76,2.65,5
NH,16.18,18.5,2.411,1A
NJ,8.32,15.81,2.44,1B
NM,8.63,12.47,2.164,3
NY,11.2,18.54,2.164,1B
NC,11.57,11.28,2.29,1C
ND,8.15,9.62,2.339,2
OH,9.51,12.8,2.408,2
OK,10.24,10.14,2.339,2
OR,12.49,10.66,2.65,5
PA,11.04,13.64,2.44,1B
RI,14.24,19.29,2.411,1A
SC,12.62,12.57,2.29,1C
SD,8.3,11.08,2.339,2
TN,9.62,10.3,2.339,2
TX,10.64,11.56,2.978,3
UT,9.72,10.88,2.408,4
VT,14.56,17.09,2.411,1A
VA,11.64,11.37,2.29,1C
WA,11.81,9.09,2.65,5
WV,10.48,10.08,2.29,1C
WI,8.54,14.11,2.339,2
WY,9.33,10.97,2.408,4
